i,e,y,u,
315,14.289,10.618,746.558,
316,14.382,10.564,748.071,
317,14.436,10.689,749.494,
318,14.311,10.801,750.836,
319,14.199,10.752,752.262,
320,14.248,10.653,753.768,
321,14.347,10.715,755.228,
322,14.285,10.864,756.575,
323,14.136,10.879,757.946,
324,14.121,10.773,759.424,
325,14.227,10.755,760.908,
326,14.245,10.898,762.288,
327,14.102,10.984,763.618,
328,14.016,10.913,765.048,
329,14.087,10.827,766.535,
330,14.173,10.915,767.960,
331,14.085,11.054,769.282,
332,13.946,11.051,770.650,
333,13.949,10.942,772.117,
334,14.058,10.941,773.575,
335,14.059,11.087,774.928,
336,13.913,11.163,776.245,
337,13.837,11.086,777.664,
338,13.914,11.006,779.132,
339,13.994,11.096,780.533,
340,13.904,11.234,781.838,
341,13.766,11.230,783.191,
342,13.770,11.122,784.638,
343,13.878,11.116,786.078,
344,13.884,11.259,787.416,
345,13.741,11.343,788.715,
346,13.657,11.274,790.111,
347,13.726,11.185,791.560,
348,13.815,11.260,792.951,
349,13.740,11.403,794.243,
350,13.597,11.419,795.569,
351,13.581,11.315,796.991,
352,13.685,11.283,798.419,
353,13.717,11.414,799.755,
354,13.586,11.519,801.032,
355,13.481,11.474,802.393,
356,13.526,11.371,803.821,
357,13.629,11.409,805.212,
358,13.591,11.557,806.501,
359,13.443,11.610,807.790,
360,13.390,11.522,809.177,
361,13.478,11.451,810.595,
362,13.549,11.548,811.941,
363,13.452,11.682,813.203,
364,13.318,11.682,814.516,
365,13.318,11.575,815.915,
366,13.425,11.554,817.310,
367,13.446,11.686,818.613,
368,13.314,11.789,819.867,
369,13.211,11.744,821.203,
370,13.256,11.640,822.602,
371,13.360,11.671,823.968,
372,13.329,11.816,825.234,
373,13.184,11.881,826.494,
374,13.119,11.803,827.847,
375,13.197,11.719,829.237,
376,13.281,11.793,830.569,
377,13.207,11.935,831.811,
378,13.065,11.963,833.083,
379,13.037,11.866,834.444,
380,13.134,11.810,835.820,
381,13.190,11.916,837.118,
382,13.084,12.044,838.346,
383,12.956,12.040,839.630,
384,12.960,11.934,840.992,
385,13.066,11.908,842.350,
386,13.092,12.033,843.619,
387,12.967,12.144,844.840,
388,12.856,12.115,846.133,
389,12.885,12.008,847.492,
390,12.992,12.009,848.830,
391,12.991,12.145,850.075,
392,12.855,12.238,851.293,
393,12.762,12.191,852.590,
394,12.809,12.088,853.942,
395,12.912,12.110,855.261,
396,12.890,12.251,856.487,
397,12.749,12.330,857.702,
398,12.670,12.269,859.001,
399,12.731,12.171,860.343,
400,12.829,12.209,861.645,
401,12.791,12.351,862.856,
402,12.649,12.420,864.069,
403,12.580,12.351,865.364,
404,12.649,12.258,866.697,
405,12.742,12.305,867.984,
406,12.695,12.447,869.183,
407,12.553,12.509,870.391,
408,12.491,12.437,871.680,
409,12.563,12.346,873.003,
410,12.654,12.396,874.278,
411,12.604,12.538,875.468,
412,12.462,12.599,876.669,
413,12.401,12.527,877.949,
414,12.473,12.436,879.263,
415,12.564,12.483,880.529,
416,12.517,12.624,881.711,
417,12.376,12.689,882.902,
418,12.311,12.621,884.171,
419,12.379,12.527,885.475,
420,12.473,12.566,886.736,
421,12.434,12.705,887.913,
422,12.295,12.778,889.092,
423,12.222,12.719,890.348,
424,12.281,12.620,891.642,
425,12.380,12.645,892.900,
426,12.355,12.782,894.073,
427,12.218,12.867,895.239,
428,12.133,12.820,896.478,
429,12.180,12.717,897.762,
430,12.283,12.722,899.019,
